,first150,fname,match
114,"JANUARY 29, 2002 -1- FINAL DECISION AND ORDER 02-004 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION CASE # 02-004 STUDENT D. V. HARTFORD BOARD OF EDUCAT",02_004.pdf.txt,HARTFORD
2150,"MARCH 5, 2002 -1- FINAL DECISION AND ORDER 02-010 STATE OF CONNECTICUT DEPARTMENT OF EDUCTION STUDENT V. REGIONAL SCHOOL DISTRICT 15 APPEARING ON BEHA",02_010.pdf.txt,REGIONAL SCHOOL DISTRICT 15
723,"JUNE 20, 2002 -1- FINAL DECISION 02-021 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT C. V. GREENWICH BOARD OF EDUCATION APPEARING ON BEHALF OF",02_021.pdf.txt,GREENWICH
414,"MARCH 1, 2002 -1- FINAL DECISION AND ORDER 02-023 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION WESTPORT BOARD OF EDUCATION V. STUDENT APPEARING ON BEH",02_023.pdf.txt,WESTPORT
2039,"MARCH 26, 2002 -1- FINAL DECISION AND ORDER 02-034 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. WESTPORT BOARD OF EDUCATION APPEARING ON BE",02_034.pdf.txt,WESTPORT
793,"APRIL 22, 2002 -1- FINAL DECISION AND ORDER 02-043 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. NEW HAVEN BOARD OF EDUCATION APPEARING ON B",02_043.pdf.txt,NEW HAVEN
2411,"MARCH 27, 2002 -1- FINAL DECISION AND ORDER 02-044 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENTS V. WEST HAVEN BOARD OF EDUCATION APPEARING ON",02_044.pdf.txt,WEST HAVEN
2120,"APRIL 18, 2002 -1- FINAL DECISION AND ORDER 02-056 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. NEW HAVEN BOARD OF EDUCATION: #02-056 APPEA",02_056.pdf.txt,NEW HAVEN
72,"MAY 23, 2002 -1- FINAL DECISION AND ORDER 02-059 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. KILLINGLY BOARD OF EDUCATION APPEARING ON BEH",02_059.pdf.txt,KILLINGLY
1761,"AUGUST 21, 2002 -1- FINAL DECISION AND ORDER 02-060 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. SEYMOUR BOARD OF EDUCATION APPEARING ON BE",02_060.pdf.txt,SEYMOUR
2181,"APRIL 22, 2002 -1- FINAL DECISION AND ORDER 02-062 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. HARTFORD BOARD OF EDUCATION APPEARING ON BE",02_062.pdf.txt,HARTFORD
1487,"MAY 8, 2002 -1- FINAL DECISION AND ORDER 02-068 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. HARTFORD BOARD OF EDUCATION APPEARING ON BEHAL",02_068.pdf.txt,HARTFORD
1767,"APRIL 30, 2002 -1- FINAL DECISION AND ORDER 02-070 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. WATERBURY BOARD OF EDUCATION APPEARING ON B",02_070.pdf.txt,WATERBURY
1440,"JUNE 25, 2002 -1- INTERIM ORDER 02-073/076 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION TRUMBULL BOARD OF EDUCATION V. STUDENT-1 TRUMBULL BOARD OF EDU",02_073and076.pdf.txt,TRUMBULL
1180,"SEPTEMBER 25, 2002 -1-FINAL DECISION AND ORDER 02-074 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. WATERBURY BOARD OF EDUCATION &#8226;APPE",02_074.pdf.txt,WATERBURY
172,"OCTOBER 1, 2002 -1- FINAL DECISION AND ORDER 02-076 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. BOARD OF EDUCATION APPEARING ON BEHALF OF ",02_076.pdf.txt,
1116,"MAY 21, 2002 -1- FINAL DECISION AND ORDER 02-080 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION TRUMBULL BOARD OF EDUCATION V. [STUDENT] APPEARING ON BE",02_080.pdf.txt,TRUMBULL
1738,"JULY 15, 2002 -1- FINAL DECISION AND ORDER 02-085 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. RIDGEFIELD BOARD OF EDUCATION APPEARING ON B",02_085.pdf.txt,RIDGEFIELD
14,"OCTOBER 7, 2002 -1- FINAL DECISION AND ORDER 02-092 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. WESTPORT BOARD OF EDUCATION APPEARING ON B",02_092.pdf.txt,WESTPORT
586,"JUNE 27, 2002 -1- FINAL DECISION AND ORDER 02-093 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. GROTON BOARD OF EDUCATION APPEARING ON BEHAL",02_093.pdf.txt,GROTON
1927,"FEBRUARY 19, 2003 -1- FINAL DECISION AND ORDER 02-094 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. STAMFORD BOARD OF EDUCATION APPEARING ON",02_094.pdf.txt,STAMFORD
454,"AUGUST 21, 2002 -1- FINAL DECISION AND ORDER 02-106 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. STRATFORD BOARD OF EDUCATION APPEARING ON ",02_106.pdf.txt,STRATFORD
1765,"JULY 18, 2002 -1- FINAL DECISION AND ORDER 02-108 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. NEW HAVEN BOARD OF EDUCATION NO APPEARANCE O",02_108.pdf.txt,NEW HAVEN
612,"OCTOBER 7, 2002 -1- FINAL DECISION AND ORDER 02-120 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. NEW FAIRFIELD BOARD OF EDUCATION APPEARING",02_120.pdf.txt,NEW FAIRFIELD
75,"NOVEMBER 6, 2002 -1- FINAL DECISION AND ORDER 02-121 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION WESTPORT BOARD OF EDUCATION V. STUDENT APPEARING ON ",02_121.pdf.txt,WESTPORT
921,"JUNE 12, 2002 -1- FINAL DECISION AND ORDER 02-122 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. ANSONIA BOARD OF EDUCATION AND WESTPORT BOAR",02_122.pdf.txt,ANSONIA BOARD OF EDUCATION AND WESTPORT
617,"JUNE 28, 2002 -1- FINAL DECISION AND ORDER 02-130 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT S. V. REGIONAL SCHOOL DISTRICT NO. 13 APPEARING",02_130.pdf.txt,REGIONAL SCHOOL DISTRICT NO. 13
70,"AUGUST 28, 2002 -1- FINAL DECISION AND ORDER 02-131 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. MANCHESTER BOARD OF EDUCATION APPEARING ON",02_131.pdf.txt,MANCHESTER
